,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t3,전준우,2021,2,0,0,0,0,1,0,1,3,0,19,0,71,4,5,0.15,0.10526315789473684
t5,전준우,2021,10,3,0,0,0,1,0,0,2,0,22,0,92,5,5,0.6086956521739131,0.7272727272727273
t6,전준우,2021,7,2,0,1,1,1,0,0,2,0,20,0,64,4,5,0.5454545454545454,0.75
t7,전준우,2021,5,2,0,1,0,3,0,0,0,0,17,0,73,4,5,0.55,0.7647058823529411
t8,전준우,2021,6,2,0,0,1,2,0,1,3,0,19,1,76,6,5,0.5,0.5263157894736842
t9,전준우,2021,8,1,0,0,0,5,0,0,4,0,21,0,99,5,5,0.5384615384615384,0.47619047619047616
t10,전준우,2021,7,0,0,0,1,3,0,0,3,0,18,0,84,5,5,0.5,0.3888888888888889
t11,전준우,2021,5,3,0,0,0,1,0,0,3,0,21,0,87,7,5,0.4090909090909091,0.5238095238095238
t12,전준우,2021,7,2,0,0,0,2,0,1,1,0,18,0,69,7,5,0.55,0.6111111111111112
t13,전준우,2021,4,0,0,1,0,4,0,0,3,0,13,0,76,5,5,0.5294117647058824,0.6153846153846154
t14,전준우,2021,7,1,0,0,0,1,0,0,4,0,22,1,81,6,5,0.391304347826087,0.4090909090909091
t15,전준우,2021,2,0,0,0,1,2,0,0,2,0,19,1,81,5,5,0.22727272727272727,0.10526315789473684
t16,전준우,2021,6,2,0,1,0,4,0,1,0,0,18,0,78,4,5,0.5909090909090909,0.7777777777777778
t17,전준우,2021,4,1,0,0,0,4,0,1,1,1,18,0,106,4,5,0.391304347826087,0.3333333333333333
t18,전준우,2021,8,0,0,0,1,5,0,1,4,0,21,0,108,5,5,0.5185185185185185,0.38095238095238093
t1,페르난데스,2021,2,1,0,0,0,1,0,0,1,0,16,0,47,4,5,0.23529411764705882,0.25
t2,페르난데스,2021,3,0,0,1,0,5,0,2,2,0,15,0,67,6,5,0.45,0.4666666666666667
t3,페르난데스,2021,7,1,0,0,1,1,0,1,1,0,21,0,85,6,5,0.43478260869565216,0.42857142857142855
